Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,TiO2-c,TiCl4,Spin-coating,PbI2,HMTA,Spin-coating,0.9614254213715878,Chlorobenzene,PTAA,Li-TFSI,AgAl,531.9404530782108,0,100.0-15.0,0.9528824502569477
pin,SLG | ITO,PCBM-60 | bis-C60,Undoped,Spin-coating | Spin-coating,Stoichiometric,Mn,Spin-coating,0.8092967388674971,Chlorobenzene,PTAA,TAPC,AgAl,98.67977948899201,0,60; 120-2.0; 15.0,0.9527011495030718
nip,SLG | FTO,TiO2-c,Undoped,Dipp-coating,PbI2,Caffeine,Spin-coating,0.9510630527015692,Diethyl ether,PTAA,O2,AgAl,526.7453764399606,0,100.0-15.0,0.952697446585345
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,Stoichiometric,ITIC,Spin-coating,0.7793425411799261,Chlorobenzene,PTAA,TAPC,AgAl,109.06110354311534,0,60; 100-45.0; 50.0,0.9526842681588136
nip,SLG | FTO,TiO2-c,Samarium,Spin-coating,PbI2,SA-1,Spin-coating,0.9515174020984867,Chlorobenzene,Spiro-MeOTAD,Li-TFSI; TPB,AgAl,134.95287970303025,0,100.0-180.0,0.9526334013640777
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,MA,Spin-coating,0.9712284234627808,Diethyl ether,PTAA,NPB,Ca | Al,387.52833473893224,0,220.0-10.0,0.9523847537336428
pin,SLG | ITO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,Stoichiometric,Mn,Spin-coating,0.7288951302342978,Chlorobenzene,PTAA,NPB,AgAl,99.686094087756,0,25; 90-3.0; 5.0,0.9523651243317308
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,PbI2,CdCl2,Spin-coating,0.7719321672752638,Diethyl ether,PTAA,O2,AgAl,344.73917356238695,0,100.0-15.0,0.9522052255256468
nip,SLG | FTO,TiO2-c,Zr,Spin-coating,Pb,CsI,Spin-coating,0.7322295438960065,Diethyl ether,PTAA,Li-TFSI; TBP,MoO3 | Au,396.8720221325155,0,100.0-240.0,0.9521822077533129
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,NH4Cl,ITIC,Spin-coating,0.8597127823209129,Chlorobenzene,PTAA,Li-TFSI; Polystyrene; TBP,AgAl,223.42104927490757,0,60.0-2.0,0.9520530047989338
nip,SLG | FTO,SnO2-c,SnCl2; MercaptoPropionic acid; Urea,Spin-coating,NH4Cl,Ni,Spin-coating,0.7410374729401361,Chlorobenzene,PTAA,Li-TFSI,AgAl,173.27624794273498,0,60.0-150.0,0.9520192753696161
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,Stoichiometric,Diiodooctane,Spin-coating >> CBD,0.7498065412120297,Chlorobenzene,PTAA,PolyTPD,AgAl,87.97977129935894,0,60; 100-45.0; 50.0,0.9520117943539265
pin,SLG | ITO,PCBM-60 | C60 | BCP,Undoped,Spin-coating | Evaporation | Evaporation,Stoichiometric,DCL97,Spin-coating,0.8032707929147677,Chlorobenzene,PTAA,TAPC,Al,104.69484134958604,0,25; 100-5.0; 10.0,0.9518643114769179
nip,SLG | FTO,SnO2-c,Li,Spin-coating,Pb,PbAc,Spin-coating,0.8071438628603914,Chlorobenzene,PTAA,Li-TFSI,Ag,301.2068438924474,0,100.0-144.0,0.9517697770278577
