Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_perovskite_ABC3_structure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,Perovskite_deposition_quenching_media_additives_compounds,Perovskite_deposition_solvent_annealing,HTL_stack_sequence,HTL_additives_compounds,HTL_deposition_procedure,Backcontact_stack_sequence,Backcontact_thickness_list,Backcontact_deposition_procedure,JV_default_Voc,JV_default_Jsc,JV_default_FF,JV_default_PCE,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing
nip,SLG | ITO,TiO2-c,Undoped,Sputtering,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,150.0,Evaporation,1.0,19.08,0.706,13.47,0,70; 100-30.0; 60.0
nip,SLG | ITO,TiO2-c,Undoped,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,150.0,Evaporation,0.94,19.39,0.66,12.03,0,70; 100-30.0; 60.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Acetate,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,120.0,Evaporation,1.01,14.5,0.67,7.2,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Acetate; HPA,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,120.0,Evaporation,1.07,20.1,0.72,13.1,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Acetate; HCl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,120.0,Evaporation,0.98,11.9,0.645,7.5,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Acetate; HAc,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,120.0,Evaporation,0.805,3.7,0.48,1.3,0,100.0-5.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Acetate; H2O,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,120.0,Evaporation,0.83,4.3,0.49,2.0,0,100.0-5.0
nip,SLG | FTO,TiO2-c | Al2O3-mp,Undoped,Spin-coating | Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,50.0,Evaporation,1.0,17.9,0.66,11.8,0,100.0-90.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Spray-pyrolys | Spin-coating,1,none,Undoped,Spin-coating,1.0,N2,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.027,22.31,0.713,16.33,0,100.0-10.0
nip,SLG | FTO,TiO2-c,Undoped,Spray-pyrolys,1,none,Undoped,Spin-coating,1.0,N2,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,80.0,Evaporation,1.022,21.66,0.7020000000000001,15.55,0,100.0-10.0
pin,SLG | ITO,C60 | BCP,Undoped,Evaporation | Evaporation,1,none,Undoped,Spin-coating,1.0,Toluene,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.92,20.0,0.77,14.1,0,70; 120-1.0; 2.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,P3HT,Undoped,Spin-coating,Au,70.0,Evaporation,0.87,18.1,0.59,9.29,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Ionic liquid,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,P3HT,Undoped,Spin-coating,Au,70.0,Evaporation,0.88,18.14,0.532,8.49,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Ethanolamine,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,P3HT,Undoped,Spin-coating,Au,70.0,Evaporation,0.92,19.21,0.628,11.1,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,0.92,20.76,0.591,11.29,0,100.0-45.0
nip,SLG | FTO,TiO2-c,Ethanolamine,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,70.0,Evaporation,1.01,21.11,0.642,13.69,0,100.0-45.0
nip,SLG | FTO,TiO2-c | TiO2-mp,Undoped,Sputtering | Spin-coating,1,none,Undoped,Spin-coating,1.0,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,100.0,Evaporation,1.044,19.85,0.568,11.7,0,50; 100-2.0; 10.0
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,1,none,Undoped,Spin-coating,1.0,Diethyl ether,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,1.02,20.1,0.705,14.4,0,65; 100-1.0; 9.0
nip,SLG | FTO,TiO2-c,Undoped,Spin-coating,1,MA,Cl,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Au,60.0,Evaporation,1.03,20.8,0.7759999999999999,16.6,0,100.0-90.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.6,Toluene,Undoped,0,NiO-c,Undoped,Spin-coating,Ag,150.0,Evaporation,0.97,23.04,0.643,14.37,0,40; 100-2.0; 10.0
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,1,none,Undoped,Spin-coating,0.6,Toluene,Undoped,0,NiO-c,Undoped,Spin-coating,Ag,150.0,Evaporation,0.7909999999999999,14.71,0.362,4.2,0,100.0-10.0
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Spin-coating,1,MA,Acetate; H2O; Hypophosphorous acid,Spin-coating,1.0,Undoped,Undoped,0,Spiro-MeOTAD,Li-TFSI; TBP,Spin-coating,Ag,125.0,Evaporation,1.04,19.4,0.51,10.3,0,100.0-5.0
pin,SLG | ITO,PCBM-60 | ZnO-np,Undoped,Spin-coating | Spin-coating,1,MA,Acetate; H2O; Hypophosphorous acid,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Al,100.0,Evaporation,0.93,18.5,0.76,13.1,0,100.0-5.0
pin,SLG | ITO,PCBM-60,Undoped,Spin-coating,1,none,MAPbCl3,Spin-coating,1.0,Undoped,Undoped,0,PEDOT:PSS,Undoped,Spin-coating,Ag,100.0,Evaporation,0.9,11.1,0.789,7.9,0,100.0-5.0
