Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,Stoichiometric,PMA,Spin-coating,0.7507605695352214,Diethyl ether,PTAA,F4-TCNQ,AgAl,117.61314171175103,0,65; 100-1.0; 2.0,0.9299754585329095
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,MAI,Methimazole,Spin-coating,0.9202663425717317,Diethyl ether,PTAA,TPFB,AgAl,77.49095245831874,0,100.0-95.0,0.9298357421933878
nip,SLG | FTO,SnO2-c,Ti3C2,Spin-coating,PbAc2,Caffeine,Spin-coating,0.7075941299110775,Diethyl ether,PTAA,TPFB,Ca | Al,121.86944752002417,0,60.0-150.0,0.9295575316173877
nip,SLG | FTO,SnO2-c,Bi2O2S-np,Spin-coating,none,MOF,Doctor blading,0.8179028463825817,Toluene,PTAA,TPFB,AgAl,285.1033019321508,0,60; 80-1.0; 2.0,0.9295400443028545
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,Pb,Benzoquinone,Spin-coating >> CBD,0.7307551190208391,Chlorobenzene,PTAA,O2,Ag,353.5996251114504,0,60; 80-1.0; 80.0,0.9295251943317044
nip,SLG | FTO,SnO2-c,MoCl5,Spin-coating,MA,DA2PbI4,Drop-infiltration,0.7452823073918544,Chlorobenzene,PTAA,LAD,AgAl,70.91017521317674,0,65.0; 100.0-2.0; 3.0,0.929445351568013
nip,SLG | FTO,SnO2-c,Undoped,Evaporation,PbAc2,Zr(AC)4,Spin-coating,0.8632453246436815,Chlorobenzene,PTAA,LAD,AgAl,138.23531912304088,0,60; 80-1.5; 2.0,0.9292218542484106
nip,SLG | FTO,SnO2-np,Potassium O-hexyl xanthate,Spin-coating,Stoichiometric,HATNA,Spin-coating,0.7938219775649321,Diethyl ether,PTAA,F4-TCNQ,AgAl,96.38631157186464,0,60.0; 85.0-1.0; 25.0,0.9290407552448868
nip,SLG | FTO,TiO2-c,Al,Spin-coating,PbI2,Rb,Drop-infiltration >> CBD,0.9764970744634361,Chlorobenzene,PTAA,Li-TFSI,AgAl,544.8771330254036,0,130.0-90.0,0.9288728746733234
nip,SLG | FTO,TiO2-c | PCBM-60,Undoped,Spin-coating | Evaporation,PbI2,Butylamineiodide,Spin-coating,0.6325953782404734,Chlorobenzene,PTAA,O2,AgAl,108.7701692516605,0,60; 100-10.0; 10.0,0.9286498868528558
