Cell_architecture,Substrate_stack_sequence,ETL_stack_sequence,ETL_additives_compounds,ETL_deposition_procedure,Perovskite_composition_none_stoichiometry_components_in_excess,Perovskite_additives_compounds,Perovskite_deposition_procedure,DMF_DMSO,Perovskite_deposition_quenching_media,HTL_stack_sequence,HTL_additives_compounds,Backcontact_stack_sequence,Backcontact_thickness_list,Perovskite_deposition_solvents_IPA,Perovskite_deposition_thermal_annealing,prob
pin,SLG | FTO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,PbI2,Phenylethylammonium iodide,Spin-coating >> CBD,0.9185890063161901,Diethyl ether,PTAA,Undoped,MoO3 | Au,53.24503768120702,0,120.0-10.0,0.9090466616657615
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Evaporation,PbAc2,TMS,Spin-coating,0.9752571592175218,Diethyl ether,PTAA,F4-TCNQ,AgAl,235.17570962611262,0,100; 120-100.0; 20.0,0.908863004432477
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,Stoichiometric,BAI,Spin-coating,0.8382436490696666,Chlorobenzene,PTAA,F4-TCNQ,AgAl,91.10600970010344,0,100.0-33.0,0.9088298938054336
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Spin-coating,PbAc2,Isatin-Cl,Spin-coating,0.78799498508323,Chlorobenzene,PTAA,PolyTPD,Al,204.28708738104905,0,100; 100-10.0; 60.0,0.9085985197973273
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,PbAc2,Cl; DPE,Spin-coating >> CBD,0.7426835727619223,Chlorobenzene,PTAA,F8BT,Ag,142.62553772527397,0,100.0-180.0,0.9085207755697658
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating,PbI2,Polyurethane,Spin-coating,0.8117660197109838,Chlorobenzene,PTAA,NPB,AgAl,317.0249548560922,0,100.0-120.0,0.9081968539779809
pin,SLG | FTO,PCBM-60,Polystyrene,Spin-coating,Pb,PMA,Spin-coating,0.7617519971257434,Diethyl ether,PTAA,PolyTPD,Ag,163.48236009061964,0,100.0-35.0,0.9080985961225153
pin,SLG | FTO,PCBM-60 | LiF,Undoped,Spin-coating | Evaporation,PbCl2,S-Carbon-nt,Spin-coating,0.7775690974134165,Chlorobenzene,PTAA,F4-TCNQ,AgAl,133.05938706411345,0,100.0-70.0,0.9079995212166017
pin,SLG | FTO,PCBM-60 | Bphen,Undoped,Spin-coating | Evaporation,Pb,Rb,Drop-infiltration,0.8910774795210744,Chlorobenzene,PTAA,F8BT,AgAl,251.46161424653255,0,100.0-144.0,0.907752234393708
pin,SLG | FTO,PCBM-60,Undoped,Spin-coating | Evaporation,Pb,NH4I,Spin-coating >> CBD,0.9188273501997386,Chlorobenzene,PTAA,TAPC,AgAl,128.12082267672784,1,100.0-5.0,0.9076125489298904
